
1;1;Tralalero Tralala;100;Data/textures-cards/Tralalero_tralala.png;Un personaggio con un nome che evoca forza e vitalità. Pronto a colpire senza paura.;0;1;0;Italy;0;0
1;2;Bombardiro Crocodilo;120;Data/textures-cards/Bombardiro_Crocodilo.png;Un imponente coccodrillo che sferra attacchi devastanti.;0;1;0;Italy;0;0
1;3;Bombombini Gusini;80;Data/textures-cards/Bombini_Gusini.png;Un personaggio veloce e imprevedibile, che colpisce con attacchi esplosivi.;4;1;0;Italy;0;0
1;4;Lirili Larila;90;Data/textures-cards/Lirili_rili_ralila.png;Agile e pronta a parare, questa figura si dedica alla protezione.;3;2;0;Italy;0;0
1;5;Brr Brr Patapim;110;Data/textures-cards/Brr_Brr_Patapim.png;Resistente e forte, è in grado di respingere gli attacchi più violenti.;3;2;0;Italy;0;0
0;6;Brr Brr Tarflem;100;;Un personaggio che può proteggere gli alleati da ogni attacco.;2;2;0;Italy;0;0
1;7;Trulimero Trulicina;95;Data/textures-cards/trulimero_trulichina.png;Un difensore esperto, pronto a sostenere i compagni.;1;2;0;Italy;0;0
1;8;Zhuzhuli Buffo;80;Data/textures-cards/Zhuzhuli_buffo.png;Un personaggio allegro e strano, che porta cura e sollievo.;8;3;0;Italy;0;0
1;9;Tortitilli Mortiri;110;Data/textures-cards/Zhuzhuli_buffo.png;Un robusto difensore, sempre pronto a proteggere i suoi compagni.;1;2;0;Italy;0;0
1;10;Cocosatic Bungus;100;Data/textures-cards/Cocosatic_Bungus.png;Un personaggio con un grande potenziale offensivo.;9;1;0;Italy;0;0
1;11;Frulli Frulla;90;Data/textures-cards/Frulli_Frulla.png;Una figura veloce e potente, ideale per l'attacco.;2;1;0;Italy;0;0
1;12;La Vaca Saturno Saturnita;120;Data/textures-cards/Saturno_Saturnita.png;Una vaca gigante che agisce da difensore, resistendo agli attacchi.;5;2;0;Italy;0;0
0;13;Penisini de Cocodrilo;100;;Un attaccante deciso e imponente, pronto a colpire con forza.;6;1;0;Italy;0;0
1;14;Bri Bri Bicus Dicus;110;Data/textures-cards/Bri_bri_bricus_dicus.png;Un personaggio forte, pronto a infliggere danni devastanti.;4;1;0;Italy;0;0
1;15;Serpentini Toiletini;85;Data/textures-cards/Serpentini_Toiletini.png;Agile e pronto a difendere, un difensore efficace.;3;2;0;Italy;0;0
0;16;Bobritto Bandido;100;;Un bandito esperto nell'attacco, pronto a colpire senza pietà.;5;1;0;Italy;0;0
